in2_2_i,in2_1_i,in2_0_i,in1_2_i,in1_1_i,in1_0_i,in0_2_i,in0_1_i,in0_0_i,out4_o,out3_o,out2_o,out1_o,out0_o
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,0,0,0,0,0,1,1,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,1,1,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0,1,0,1
0,0,0,0,0,1,1,0,1,0,0,1,1,0
0,0,0,0,0,1,1,1,0,0,0,1,1,1
0,0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,0,0,0,1,1
0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,1,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,1,1,0
0,0,0,0,1,0,1,0,1,0,0,1,1,1
0,0,0,0,1,0,1,1,0,0,1,0,0,0
0,0,0,0,1,0,1,1,1,0,1,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,1,1,0,0,1,0,0,1,0,0
0,0,0,0,1,1,0,1,0,0,0,1,0,1
0,0,0,0,1,1,0,1,1,0,0,1,1,0
0,0,0,0,1,1,1,0,0,0,0,1,1,1
0,0,0,0,1,1,1,0,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,1,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,1,0,0,0,1,1,0
0,0,0,1,0,0,0,1,1,0,0,1,1,1
0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,1,0,1,0,0,1
0,0,0,1,0,0,1,1,0,0,1,0,1,0
0,0,0,1,0,0,1,1,1,0,1,0,1,1
0,0,0,1,0,1,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,1,0,0,1,1,0
0,0,0,1,0,1,0,1,0,0,0,1,1,1
0,0,0,1,0,1,0,1,1,0,1,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,1
0,0,0,1,0,1,1,0,1,0,1,0,1,0
0,0,0,1,0,1,1,1,0,0,1,0,1,1
0,0,0,1,0,1,1,1,1,0,1,1,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,1,0,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,1,0,1,0,0,1
0,0,0,1,1,0,1,0,0,0,1,0,1,0
0,0,0,1,1,0,1,0,1,0,1,0,1,1
0,0,0,1,1,0,1,1,0,0,1,1,0,0
0,0,0,1,1,0,1,1,1,0,1,1,0,1
0,0,0,1,1,1,0,0,0,0,0,1,1,1
0,0,0,1,1,1,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,1,0,0,1,0,0,1
