State_s,req_hit_i,others_busy_i,NextState_ns,busy_o,st_req_o,WriteComplete_o,Drive_Addr_Bus_o,Drv_DB_0_o,Drv_DB_1_o,Drv_DB_2_o,Drv_DB_3_o
IDLE,0,1,IDLE,0,0,0,0,0,0,0,0
IDLE,1,1,IDLE,0,0,0,0,0,0,0,0
IDLE,0,0,IDLE,0,0,0,0,0,0,0,0
IDLE,0,1,IDLE,0,0,0,0,0,0,0,0
IDLE,1,0,ST_REQ,1,0,0,1,0,0,0,0
ST_REQ,0,0,ST0,1,1,0,1,1,0,0,0
ST_REQ,0,1,ST0,1,1,0,1,1,0,0,0
ST_REQ,1,0,ST0,1,1,0,1,1,0,0,0
ST_REQ,1,1,ST0,1,1,0,1,1,0,0,0
ST0,0,0,ST1,1,0,0,1,0,1,0,0
ST0,0,1,ST1,1,0,0,1,0,1,0,0
ST0,1,0,ST1,1,0,0,1,0,1,0,0
ST0,1,1,ST1,1,0,0,1,0,1,0,0
ST1,0,0,ST2,1,0,0,1,0,0,1,0
ST1,0,1,ST2,1,0,0,1,0,0,1,0
ST1,1,0,ST2,1,0,0,1,0,0,1,0
ST1,1,1,ST2,1,0,0,1,0,0,1,0
ST2,0,0,IDLE,1,0,1,1,0,0,0,1
ST2,0,1,IDLE,1,0,1,1,0,0,0,1
ST2,1,0,IDLE,1,0,1,1,0,0,0,1
ST2,1,1,IDLE,1,0,1,1,0,0,0,1
ERROR,0,0,ERROR,0,0,0,0,0,0,0,0
ERROR,0,1,ERROR,0,0,0,0,0,0,0,0
ERROR,1,0,ERROR,0,0,0,0,0,0,0,0
ERROR,1,1,ERROR,0,0,0,0,0,0,0,0
