State_s,req_hit_i,others_busy_i,mem_ready_i,,NextState_ns,busy_o,mem_valid_o,ld_req_o,Drive_Addr_Bus_o,Drv_DB_0_o,Drv_DB_1_o,Drv_DB_2_o,Drv_DB_3_o
IDLE,0,1,0,,IDLE,0,0,0,0,0,0,0,0
IDLE,0,1,1,,IDLE,0,0,0,0,0,0,0,0
IDLE,1,1,0,,IDLE,0,0,0,0,0,0,0,0
IDLE,1,1,1,,IDLE,0,0,0,0,0,0,0,0
IDLE,0,0,0,,IDLE,0,0,0,0,0,0,0,0
IDLE,0,0,1,,IDLE,0,0,0,0,0,0,0,0
IDLE,0,1,0,,IDLE,0,0,0,0,0,0,0,0
IDLE,0,1,1,,IDLE,0,0,0,0,0,0,0,0
IDLE,1,0,0,,MEM_REQ,0,0,0,1,0,0,0,0
IDLE,1,0,1,,MEM_REQ,0,0,0,1,0,0,0,0
MEM_REQ,0,0,0,,MEM_REQ,1,0,1,1,0,0,0,0
MEM_REQ,0,1,0,,MEM_REQ,1,0,1,1,0,0,0,0
MEM_REQ,1,0,0,,MEM_REQ,1,0,1,1,0,0,0,0
MEM_REQ,1,1,0,,MEM_REQ,1,0,1,1,0,0,0,0
MEM_REQ,0,0,1,,LD0,1,1,0,1,1,0,0,0
MEM_REQ,0,1,1,,LD0,1,1,0,1,1,0,0,0
MEM_REQ,1,0,1,,LD0,1,1,0,1,1,0,0,0
MEM_REQ,1,1,1,,LD0,1,1,0,1,1,0,0,0
LD0,0,0,0,,LD1,1,1,0,1,0,1,0,0
LD0,0,0,1,,LD1,1,1,0,1,0,1,0,0
LD0,0,1,0,,LD1,1,1,0,1,0,1,0,0
LD0,0,1,1,,LD1,1,1,0,1,0,1,0,0
LD0,1,0,0,,LD1,1,1,0,1,0,1,0,0
LD0,1,0,1,,LD1,1,1,0,1,0,1,0,0
LD0,1,1,0,,LD1,1,1,0,1,0,1,0,0
LD0,1,1,1,,LD1,1,1,0,1,0,1,0,0
LD1,0,0,0,,LD2,1,1,0,1,0,0,1,0
LD1,0,0,1,,LD2,1,1,0,1,0,0,1,0
LD1,0,1,0,,LD2,1,1,0,1,0,0,1,0
LD1,0,1,1,,LD2,1,1,0,1,0,0,1,0
LD1,1,0,0,,LD2,1,1,0,1,0,0,1,0
LD1,1,0,1,,LD2,1,1,0,1,0,0,1,0
LD1,1,1,0,,LD2,1,1,0,1,0,0,1,0
LD1,1,1,1,,LD2,1,1,0,1,0,0,1,0
LD2,0,0,0,,IDLE,1,1,0,1,0,0,0,1
LD2,0,0,1,,IDLE,1,1,0,1,0,0,0,1
LD2,0,1,0,,IDLE,1,1,0,1,0,0,0,1
LD2,0,1,1,,IDLE,1,1,0,1,0,0,0,1
LD2,1,0,0,,IDLE,1,1,0,1,0,0,0,1
LD2,1,0,1,,IDLE,1,1,0,1,0,0,0,1
LD2,1,1,0,,IDLE,1,1,0,1,0,0,0,1
LD2,1,1,1,,IDLE,1,1,0,1,0,0,0,1
ERROR,0,0,0,,ERROR,0,0,0,0,0,0,0,0
ERROR,0,0,1,,ERROR,0,0,0,0,0,0,0,0
ERROR,0,1,0,,ERROR,0,0,0,0,0,0,0,0
ERROR,0,1,1,,ERROR,0,0,0,0,0,0,0,0
ERROR,1,0,0,,ERROR,0,0,0,0,0,0,0,0
ERROR,1,0,1,,ERROR,0,0,0,0,0,0,0,0
ERROR,1,1,0,,ERROR,0,0,0,0,0,0,0,0
ERROR,1,1,1,,ERROR,0,0,0,0,0,0,0,0
