State_s,D_Miss_i,V_Miss_i,EB_Hit_i,Line_valid_i,DTE_Mem_valid_i,D_Swap_valid_i,we_i,NState_ns,write_to_dswap_o,D_will_evict_o,ldFrom_V_swap_o,clr_v_swap_o,MakeReq_o,saveReq_o,useSaved_Req_o,Blocked_o,busy_o,fill0_o,fill1_o,fill2_o,fill3_o
IDLE,0,x,x,x,x,x,x,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,1,1,x,0,x,x,x,Req0,0,0,0,0,0,1,0,0,0,0,0,0,0
IDLE,1,0,x,1,x,x,0,SWAPPING_LD,1,0,0,0,0,1,0,0,0,0,0,0,0
IDLE,1,0,x,1,x,x,1,SWAPPING_ST0,1,0,0,0,0,1,0,0,0,0,0,0,0
IDLE,1,1,0,1,x,x,x,EVICTING,1,1,0,0,0,1,0,0,0,0,0,0,0
IDLE,1,1,1,1,x,x,x,EB_BLOCKING,0,0,0,0,0,1,0,0,0,0,0,0,0
EVICTING,x,x,x,x,x,1,x,EVICTING,0,0,0,0,0,0,1,0,1,0,0,0,0
EVICTING,x,x,x,x,x,0,x,Req0,0,0,0,0,0,0,1,0,1,0,0,0,0
SWAPPING_LD,x,x,x,x,x,x,x,IDLE,0,0,1,1,0,0,1,0,0,0,0,0,0
SWAPPING_ST0,x,x,x,x,x,x,1,SWAPPING_LD,0,0,0,0,0,0,1,0,0,0,0,0,0
EB_BLOCKING,x,x,1,x,x,x,x,EB_BLOCKING,0,0,0,0,0,0,1,1,1,0,0,0,0
EB_BLOCKING,x,x,0,x,x,x,x,IDLE,0,0,0,0,0,0,1,0,1,0,0,0,0
Req0,x,x,x,x,0,x,x,Req0,0,0,0,0,1,0,1,0,1,0,0,0,0
Req0,x,x,x,x,1,x,x,Req1,0,0,0,0,0,0,1,0,1,1,0,0,0
Req1,x,x,x,x,0,x,x,Req1,0,0,0,0,0,0,1,0,1,0,0,0,0
Req1,x,x,x,x,1,x,x,Req2,0,0,0,0,0,0,1,0,1,0,1,0,0
Req2,x,x,x,x,0,x,x,Req2,0,0,0,0,0,0,1,0,1,0,0,0,0
Req2,x,x,x,x,1,x,x,Req3,0,0,0,0,0,0,1,0,1,0,0,1,0
Req3,x,x,x,x,0,x,x,Req3,0,0,0,0,0,0,1,0,1,0,0,0,0
Req3,x,x,x,x,1,x,x,IDLE,0,0,0,0,0,0,1,0,1,0,0,0,1
