State_s,D_Miss_i,V_Miss_i,EB_Hit_i,Line_valid_i,DTE_Mem_valid_i,D_Swap_valid_i,we_i,NState_ns,write_to_dswap_o,D_will_evict_o,ldFrom_V_swap_o,clr_v_swap_o,MakeReq_o,saveReq_o,useSaved_Req_o,Blocked_o,busy_o,fill0_o,fill1_o,fill2_o,fill3_o
IDLE,0,0,0,0,0,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,0,0,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,0,0,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,0,0,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,0,1,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,0,1,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,0,1,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,0,1,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,1,0,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,1,0,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,1,0,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,1,0,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,1,1,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,1,1,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,1,1,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,0,1,1,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,0,0,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,0,0,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,0,0,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,0,0,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,0,1,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,0,1,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,0,1,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,0,1,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,1,0,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,1,0,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,1,0,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,1,0,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,1,1,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,1,1,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,1,1,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,1,1,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,1,0,0,0,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,1,0,0,0,0,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,1,0,0,0,1,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,1,0,0,0,1,1,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLE,0,1,0,0,1,0,0,IDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
