State_s,V_Hit_i,DC_will_evict_i,VC_needs_2_evict_i,EB_V_i,we_i,NState_ns,WR_2_EB_o,CLR_D_SWAP_V_o,Read_DSWAP_o,Write_VSWAP_o,Update_LRU_o,busy_o,blocked_o
IDLE,0,0,0,0,0,IDLE,0,0,0,0,0,0,0
IDLE,0,0,0,0,1,IDLE,0,0,0,0,0,0,0
IDLE,0,0,0,1,0,IDLE,0,0,0,0,0,0,0
IDLE,0,0,0,1,1,IDLE,0,0,0,0,0,0,0
IDLE,0,0,1,0,0,IDLE,0,0,0,0,0,0,0
IDLE,0,0,1,0,1,IDLE,0,0,0,0,0,0,0
IDLE,0,0,1,1,0,IDLE,0,0,0,0,0,0,0
IDLE,0,0,1,1,1,IDLE,0,0,0,0,0,0,0
IDLE,1,0,0,0,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,0,0,1,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,0,1,0,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,0,1,1,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,1,0,0,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,1,0,1,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,1,1,0,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,1,1,1,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,0,0,0,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,1,0,0,1,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,1,0,1,0,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,1,0,1,1,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,1,1,0,0,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,1,1,0,1,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,1,1,1,0,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,1,1,1,1,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,0,1,0,0,0,WRITE_2_VCACHE,0,0,0,0,0,0,0
IDLE,0,1,0,0,1,WRITE_2_VCACHE,0,0,0,0,0,0,0
IDLE,0,1,0,1,0,WRITE_2_VCACHE,0,0,0,0,0,0,0
IDLE,0,1,0,1,1,WRITE_2_VCACHE,0,0,0,0,0,0,0
IDLE,0,1,1,0,0,WRITE_2_VCACHE,1,0,0,0,0,0,0
IDLE,0,1,1,0,1,WRITE_2_VCACHE,1,0,0,0,0,0,0
IDLE,0,1,1,1,0,WAITEVICT,1,0,0,0,0,0,0
IDLE,0,1,1,1,1,WAITEVICT,1,0,0,0,0,0,0
LD_VC_SWAP,0,0,0,0,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,0,0,0,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,0,0,1,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,0,0,1,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,0,1,0,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,0,1,0,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,0,1,1,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,0,1,1,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,1,0,0,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,1,0,0,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,1,0,1,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,1,0,1,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,1,1,0,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,1,1,0,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,1,1,1,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,0,1,1,1,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,0,0,0,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,0,0,0,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,0,0,1,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,0,0,1,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,0,1,0,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,0,1,0,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,0,1,1,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,0,1,1,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,1,0,0,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,1,0,0,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,1,0,1,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,1,0,1,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,1,1,0,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,1,1,0,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,1,1,1,0,WRITE_2_VCACHE,0,0,0,1,0,1,0
LD_VC_SWAP,1,1,1,1,1,WRITE_2_VCACHE,0,0,0,1,0,1,0
WRITE_2_VCACHE,0,0,0,0,0,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,0,0,0,1,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,0,0,1,0,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,0,0,1,1,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,0,1,0,0,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,0,1,0,1,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,0,1,1,0,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,0,1,1,1,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,1,0,0,0,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,1,0,0,1,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,1,0,1,0,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,1,0,1,1,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,1,1,0,0,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,1,1,0,1,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,1,1,1,0,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,0,1,1,1,1,IDLE,0,1,1,0,1,1,0
WRITE_2_VCACHE,1,0,0,0,0,IDLE,0,1,1,0,1,1,0
