S_0,S_1,S_2,IC_miss_i,I_VC_Miss_i,mem_valid_i,en_i,NS_0,NS_1,NS_2,LD_IC_SWAP_BUF_o,RD_I_VC_SWAP_BUF_o,busy_o,saveAddress_o,UseSavedAddr_o,MakeReq_o,Fill0EN_o,Fill1EN_o,Fill2EN_o,Fill3EN_o
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0
0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
