state_s,hit_or_miss_i,mem_valid_i,,nextstate_ns,mem_request_o,fill0_o, fill1_o, fill2_o, fill3_o
Fill0,0,0,,Fill0,1,1,1,1,1
Fill0,1,0,,Fill0,1,1,1,1,1
Fill0,0,1,,Fill1,1,0,1,1,1
Fill0,1,1,,Fill1,1,0,1,1,1
Fill1,0,0,,Fill1,1,1,1,1,1
Fill1,1,0,,Fill1,1,1,1,1,1
Fill1,0,1,,Fill2,1,1,0,1,1
Fill1,1,1,,Fill2,1,1,0,1,1
Fill2,0,0,,Fill2,1,1,1,1,1
Fill2,1,0,,Fill2,1,1,1,1,1
Fill2,0,1,,Fill3,1,1,1,0,1
Fill2,1,1,,Fill3,1,1,1,0,1
Fill3,0,0,,Fill3,1,1,1,1,1
Fill3,1,0,,Fill3,1,1,1,1,1
Fill3,0,1,,IDLE,1,1,1,1,0
Fill3,1,1,,IDLE,1,1,1,1,0
IDLE,0,0,,Fill0,0,1,1,1,1
IDLE,0,1,,Fill0,0,1,1,1,1
IDLE,1,0,,IDLE,1,1,1,1,1
IDLE,1,1,,IDLE,1,1,1,1,1
ERROR,0,0,,ERROR,0,0,0,0,0
ERROR,0,1,,ERROR,0,0,0,0,0
ERROR,1,0,,ERROR,0,0,0,0,0
ERROR,1,1,,ERROR,0,0,0,0,0
