State_s,rep_prefix_i,cs_mov_i,cs_cmp_i,mov_clear_i,cmp_clear_i,stall_i,NState_ns,movs_start_o,cmp_start_o
IDLE,0,x,x,x,x,0,IDLE,0,0
IDLE,1,x,x,x,x,0,WAIT,0,0
WAIT,x,0,0,x,x,0,FUCK_ME,0,0
WAIT,x,0,1,x,x,0,CMP,0,1
WAIT,x,1,0,x,x,0,MOVS,1,0
WAIT,x,1,1,x,x,0,FUCK_ME,0,0
MOVS,x,x,x,0,x,0,MOVS,0,0
MOVS,x,x,x,1,x,0,IDLE,0,0
CMP,x,x,x,x,0,0,CMP,0,0
CMP,x,x,x,x,1,0,IDLE,0,0
FUCK_ME,x,x,x,x,x,x,FUCK_ME,0,0
IDLE,x,x,x,x,x,1,IDLE,0,0
MOVS,x,x,x,x,x,1,MOVS,0,0
CMP,x,x,x,x,x,1,CMP,0,0
WAIT,x,x,x,x,x,1,WAIT,0,0
