S_0,S_1,S_2,rep_prefix_i,cs_mov_i,cs_cmp_i,mov_clear_i,cmp_clear_i,stall_i,NS_0,NS_1,NS_2,movs_start_o,cmp_start_o
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,1,0,0,0,1,0,0
0,0,0,1,0,1,1,0,0,0,0,1,0,0
0,0,0,1,0,1,1,1,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,0,0,1,0,0
0,0,0,1,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,1,1,0,0,0,1,0,0
0,0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,0,1,1,1,0,1,0,0,0,1,0,0
0,0,0,1,1,1,1,0,0,0,0,1,0,0
0,0,0,1,1,1,1,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,1,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,1,1,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,1,0,1,0,0,0,1
0,0,1,0,0,1,1,0,0,1,0,0,0,1
0,0,1,0,0,1,1,1,0,1,0,0,0,1
0,0,1,1,0,1,0,0,0,1,0,0,0,1
0,0,1,1,0,1,0,1,0,1,0,0,0,1
0,0,1,1,0,1,1,0,0,1,0,0,0,1
0,0,1,1,0,1,1,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1,0,1,0
0,0,1,0,1,0,0,1,0,1,1,0,1,0
0,0,1,0,1,0,1,0,0,1,1,0,1,0
0,0,1,0,1,0,1,1,0,1,1,0,1,0
0,0,1,1,1,0,0,0,0,1,1,0,1,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0
0,0,1,1,1,0,1,0,0,1,1,0,1,0
0,0,1,1,1,0,1,1,0,1,1,0,1,0
0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,0,1,0,1,1,0,1,0,0,1,0,0,0
0,0,1,0,1,1,1,0,0,0,1,0,0,0
0,0,1,0,1,1,1,1,0,0,1,0,0,0
0,0,1,1,1,1,0,0,0,0,1,0,0,0
0,0,1,1,1,1,0,1,0,0,1,0,0,0
0,0,1,1,1,1,1,0,0,0,1,0,0,0
0,0,1,1,1,1,1,1,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0,1,1,0,0,0
1,1,0,0,0,1,0,1,0,1,1,0,0,0
1,1,0,0,1,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,1,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0,1,1,0,0,0
1,1,0,0,1,1,0,1,0,1,1,0,0,0
1,1,0,1,0,0,0,0,0,1,1,0,0,0
1,1,0,1,0,0,0,1,0,1,1,0,0,0
1,1,0,1,0,1,0,0,0,1,1,0,0,0
