State_s,rep_prefix_i,cs_mov_i,cs_cmp_i,mov_clear_i,cmp_clear_i,stall_i,NState_ns,movs_start_o,cmp_start_o
IDLE,0,0,0,0,0,0,IDLE,0,0
IDLE,0,0,0,0,1,0,IDLE,0,0
IDLE,0,0,0,1,0,0,IDLE,0,0
IDLE,0,0,0,1,1,0,IDLE,0,0
IDLE,0,0,1,0,0,0,IDLE,0,0
IDLE,0,0,1,0,1,0,IDLE,0,0
IDLE,0,0,1,1,0,0,IDLE,0,0
IDLE,0,0,1,1,1,0,IDLE,0,0
IDLE,0,1,0,0,0,0,IDLE,0,0
IDLE,0,1,0,0,1,0,IDLE,0,0
IDLE,0,1,0,1,0,0,IDLE,0,0
IDLE,0,1,0,1,1,0,IDLE,0,0
IDLE,0,1,1,0,0,0,IDLE,0,0
IDLE,0,1,1,0,1,0,IDLE,0,0
IDLE,0,1,1,1,0,0,IDLE,0,0
IDLE,0,1,1,1,1,0,IDLE,0,0
IDLE,1,0,0,0,0,0,WAIT,0,0
IDLE,1,0,0,0,1,0,WAIT,0,0
IDLE,1,0,0,1,0,0,WAIT,0,0
IDLE,1,0,0,1,1,0,WAIT,0,0
IDLE,1,0,1,0,0,0,WAIT,0,0
IDLE,1,0,1,0,1,0,WAIT,0,0
IDLE,1,0,1,1,0,0,WAIT,0,0
IDLE,1,0,1,1,1,0,WAIT,0,0
IDLE,1,1,0,0,0,0,WAIT,0,0
IDLE,1,1,0,0,1,0,WAIT,0,0
IDLE,1,1,0,1,0,0,WAIT,0,0
IDLE,1,1,0,1,1,0,WAIT,0,0
IDLE,1,1,1,0,0,0,WAIT,0,0
IDLE,1,1,1,0,1,0,WAIT,0,0
IDLE,1,1,1,1,0,0,WAIT,0,0
IDLE,1,1,1,1,1,0,WAIT,0,0
WAIT,0,0,0,0,0,0,FUCK_ME,0,0
WAIT,0,0,0,0,1,0,FUCK_ME,0,0
WAIT,0,0,0,1,0,0,FUCK_ME,0,0
WAIT,0,0,0,1,1,0,FUCK_ME,0,0
WAIT,1,0,0,0,0,0,FUCK_ME,0,0
WAIT,1,0,0,0,1,0,FUCK_ME,0,0
WAIT,1,0,0,1,0,0,FUCK_ME,0,0
WAIT,1,0,0,1,1,0,FUCK_ME,0,0
WAIT,0,0,1,0,0,0,CMP,0,1
WAIT,0,0,1,0,1,0,CMP,0,1
WAIT,0,0,1,1,0,0,CMP,0,1
WAIT,0,0,1,1,1,0,CMP,0,1
WAIT,1,0,1,0,0,0,CMP,0,1
WAIT,1,0,1,0,1,0,CMP,0,1
WAIT,1,0,1,1,0,0,CMP,0,1
WAIT,1,0,1,1,1,0,CMP,0,1
WAIT,0,1,0,0,0,0,MOVS,1,0
WAIT,0,1,0,0,1,0,MOVS,1,0
WAIT,0,1,0,1,0,0,MOVS,1,0
WAIT,0,1,0,1,1,0,MOVS,1,0
WAIT,1,1,0,0,0,0,MOVS,1,0
WAIT,1,1,0,0,1,0,MOVS,1,0
WAIT,1,1,0,1,0,0,MOVS,1,0
WAIT,1,1,0,1,1,0,MOVS,1,0
WAIT,0,1,1,0,0,0,FUCK_ME,0,0
WAIT,0,1,1,0,1,0,FUCK_ME,0,0
WAIT,0,1,1,1,0,0,FUCK_ME,0,0
WAIT,0,1,1,1,1,0,FUCK_ME,0,0
WAIT,1,1,1,0,0,0,FUCK_ME,0,0
WAIT,1,1,1,0,1,0,FUCK_ME,0,0
WAIT,1,1,1,1,0,0,FUCK_ME,0,0
WAIT,1,1,1,1,1,0,FUCK_ME,0,0
MOVS,0,0,0,0,0,0,MOVS,0,0
MOVS,0,0,0,0,1,0,MOVS,0,0
MOVS,0,0,1,0,0,0,MOVS,0,0
MOVS,0,0,1,0,1,0,MOVS,0,0
MOVS,0,1,0,0,0,0,MOVS,0,0
MOVS,0,1,0,0,1,0,MOVS,0,0
MOVS,0,1,1,0,0,0,MOVS,0,0
MOVS,0,1,1,0,1,0,MOVS,0,0
MOVS,1,0,0,0,0,0,MOVS,0,0
MOVS,1,0,0,0,1,0,MOVS,0,0
MOVS,1,0,1,0,0,0,MOVS,0,0
MOVS,1,0,1,0,1,0,MOVS,0,0
MOVS,1,1,0,0,0,0,MOVS,0,0
MOVS,1,1,0,0,1,0,MOVS,0,0
MOVS,1,1,1,0,0,0,MOVS,0,0
MOVS,1,1,1,0,1,0,MOVS,0,0
MOVS,0,0,0,1,0,0,IDLE,0,0
