State_s,start_i,cont_mov_i,wait_mov_i,exit_mov_i,stall_i,NState_ns,clear_rep_o,select_line2_o,select_line1_o,select_line0_o
IDLE,0,x,x,x,0,IDLE,0,0,0,0
IDLE,1,x,x,x,0,MOVS,0,0,0,0
MOVS,x,1,x,x,0,MOVS_OP,0,0,0,0
MOVS,x,0,1,x,0,MOVS,0,0,0,0
MOVS,x,0,0,1,0,IDLE,1,0,0,0
MOVS,x,0,0,0,0,FUCK_ME,0,0,0,0
MOVS_OP,x,x,x,x,0,DEC_ECX_MOV,0,0,0,1
DEC_ECX_MOV,x,x,x,x,0,FILLER,0,0,1,0
FILLER,x,x,x,x,0,MOVS,0,0,0,0
FUCK_ME,x,x,x,x,x,FUCK_ME,0,0,0,0
IDLE,x,x,x,x,1,IDLE,0,0,0,0
MOVS,x,x,x,x,1,MOVS,0,0,0,0
MOVS_OP,x,x,x,x,1,MOVS_OP,0,0,0,0
DEC_ECX_MOV,x,x,x,x,1,DEC_ECX_MOV,0,0,0,0
FILLER,x,x,x,x,1,FILLER,0,0,0,0
