S_0,S_1,S_2,start_write_i,ld_buf_data_V_i,write_Complete_i,writeBuf_V_i,NS_0,NS_1,NS_2,req_ld_o,ld_counter_o,inc_counter_o,ld_writeBuf_o,clr_start_write_bit_o,req_bus_o,busy_o,interrupt_o
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0
0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0
1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
