S_0,S_1,S_2,S_3,S_4,ld_address_change_i,start_store_i,NS_0,NS_1,NS_2,NS_3,NS_4,st_addr_release_o,OE_o,WE_o,clear_writebufV_o,PreCharged_o
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0
0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0
1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0
1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0
1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0
0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0
0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0
0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0
0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0
1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0
1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0
1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0
1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0
0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0
0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0
0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0
0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0
1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0
1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0
1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0
1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0
0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0
0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0
0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0
0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0
1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0
0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0
0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0
0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0
0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0
0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0
1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0
0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0
0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0
1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0
0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0
1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0
1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0
0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0
0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0
1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0
0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0
1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0
