# State list for FSM: bank_controller_fsm_logic
# Total states      : 21
# State bits needed : 5
# NOTE: IDLE is always assigned encoding 0
# NOTE: ERROR state was synthesised (not present in CSV)
#
#  idx  binary  state_name
# --------------------------------------------------
     0  00000  ERROR  # synthesised
     1  00001  IDLE
     2  00010  LD_WAIT_0
     3  00011  LD_WAIT_1
     4  00100  LD_WAIT_2
     5  00101  LD_WAIT_3
     6  00110  LD_WAIT_4
     7  00111  LD_WAIT_5
     8  01000  LD_WAIT_6
     9  01001  LD_WAIT_7
    10  01010  ST_ADDR_WAIT_0
    11  01011  ST_ADDR_WAIT_1
    12  01100  ST_ADDR_WAIT_2
    13  01101  ST_WRITE_WAIT_0
    14  01110  ST_WRITE_WAIT_1
    15  01111  ST_WRITE_WAIT_2
    16  10000  ST_WRITE_WAIT_3
    17  10001  ST_WRITE_WAIT_4
    18  10010  ST_WRITE_WAIT_5
    19  10011  ST_WRITE_WAIT_6
    20  10100  ST_WRITE_WAIT_7
