state_s,ld_req_i,write_req_i,hit_i,next_state_ns,mem_ready_o,set_ld_tristate_o,start_store_o,ld_address_changed_o,set_WriteBuf_V_o,fill0_o,fill1_o,fill2_o,fill3_o
IDLE,0,0,x,IDLE,0,0,0,0,0,0,0,0,0
IDLE,0,1,x,W0,0,0,0,0,0,1,0,0,0
IDLE,1,0,0,LD_MISS,0,0,0,1,0,0,0,0,0
IDLE,1,0,1,LD_HIT,1,1,0,0,0,0,0,0,0
IDLE,0,0,x,ERROR,0,0,0,0,0,0,0,0,0
IDLE,1,1,x,ERROR,0,0,0,0,0,0,0,0,0
W0,x,x,x,W1,0,0,0,0,0,0,1,0,0
W1,x,x,x,W2,0,0,0,0,0,0,0,1,0
W2,x,x,x,IDLE,0,0,0,0,1,0,0,0,1
LD_HIT,x,x,x,LD_0,0,1,0,0,0,0,0,0,0
LD_0,x,x,x,LD_1,0,1,0,0,0,0,0,0,0
LD_2,x,x,x,LD_2,0,1,0,0,0,0,0,0,0
LD_MISS,x,x,0,LD_MISS,0,0,0,0,0,0,0,0,0
LD_MISS,x,x,1,LD_HIT,1,1,0,0,0,0,0,0,0
ERROR,x,x,x,ERROR,0,0,0,0,0,0,0,0,0
