S_0,S_1,S_2,S_3,ld_req_i,write_req_i,hit_i,NS_0,NS_1,NS_2,NS_3,mem_ready_o,set_ld_tristate_o,start_store_o,ld_address_changed_o,set_WriteBuf_V_o,fill0_o,fill1_o,fill2_o,fill3_o
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
