state_s,ld_req_i,write_req_i,hit_i,next_state_ns,mem_ready_o,set_ld_tristate_o,start_store_o,ld_address_changed_o,set_WriteBuf_V_o,fill0_o,fill1_o,fill2_o,fill3_o
IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,0,0
IDLE,0,0,1,IDLE,0,0,0,0,0,0,0,0,0
IDLE,0,1,0,W0,0,0,0,0,0,1,0,0,0
IDLE,0,1,1,W0,0,0,0,0,0,1,0,0,0
IDLE,1,0,0,LD_MISS,0,0,0,1,0,0,0,0,0
IDLE,1,0,1,LD_HIT,1,1,0,0,0,0,0,0,0
IDLE,1,1,0,ERROR,0,0,0,0,0,0,0,0,0
IDLE,1,1,1,ERROR,0,0,0,0,0,0,0,0,0
W0,0,0,0,W1,0,0,0,0,0,0,1,0,0
W0,0,0,1,W1,0,0,0,0,0,0,1,0,0
W0,0,1,0,W1,0,0,0,0,0,0,1,0,0
W0,0,1,1,W1,0,0,0,0,0,0,1,0,0
W0,1,0,0,W1,0,0,0,0,0,0,1,0,0
W0,1,0,1,W1,0,0,0,0,0,0,1,0,0
W0,1,1,0,W1,0,0,0,0,0,0,1,0,0
W0,1,1,1,W1,0,0,0,0,0,0,1,0,0
W1,0,0,0,W2,0,0,0,0,0,0,0,1,0
W1,0,0,1,W2,0,0,0,0,0,0,0,1,0
W1,0,1,0,W2,0,0,0,0,0,0,0,1,0
W1,0,1,1,W2,0,0,0,0,0,0,0,1,0
W1,1,0,0,W2,0,0,0,0,0,0,0,1,0
W1,1,0,1,W2,0,0,0,0,0,0,0,1,0
W1,1,1,0,W2,0,0,0,0,0,0,0,1,0
W1,1,1,1,W2,0,0,0,0,0,0,0,1,0
W2,0,0,0,IDLE,0,0,1,0,1,0,0,0,1
W2,0,0,1,IDLE,0,0,1,0,1,0,0,0,1
W2,0,1,0,IDLE,0,0,1,0,1,0,0,0,1
W2,0,1,1,IDLE,0,0,1,0,1,0,0,0,1
W2,1,0,0,IDLE,0,0,1,0,1,0,0,0,1
W2,1,0,1,IDLE,0,0,1,0,1,0,0,0,1
W2,1,1,0,IDLE,0,0,1,0,1,0,0,0,1
W2,1,1,1,IDLE,0,0,1,0,1,0,0,0,1
LD_HIT,0,0,0,LD_0,0,1,0,0,0,0,0,0,0
LD_HIT,0,0,1,LD_0,0,1,0,0,0,0,0,0,0
LD_HIT,0,1,0,LD_0,0,1,0,0,0,0,0,0,0
LD_HIT,0,1,1,LD_0,0,1,0,0,0,0,0,0,0
LD_HIT,1,0,0,LD_0,0,1,0,0,0,0,0,0,0
LD_HIT,1,0,1,LD_0,0,1,0,0,0,0,0,0,0
LD_HIT,1,1,0,LD_0,0,1,0,0,0,0,0,0,0
LD_HIT,1,1,1,LD_0,0,1,0,0,0,0,0,0,0
LD_0,0,0,0,LD_1,0,1,0,0,0,0,0,0,0
LD_0,0,0,1,LD_1,0,1,0,0,0,0,0,0,0
LD_0,0,1,0,LD_1,0,1,0,0,0,0,0,0,0
LD_0,0,1,1,LD_1,0,1,0,0,0,0,0,0,0
LD_0,1,0,0,LD_1,0,1,0,0,0,0,0,0,0
LD_0,1,0,1,LD_1,0,1,0,0,0,0,0,0,0
LD_0,1,1,0,LD_1,0,1,0,0,0,0,0,0,0
LD_0,1,1,1,LD_1,0,1,0,0,0,0,0,0,0
LD_1,0,0,0,IDLE,0,1,0,0,0,0,0,0,0
LD_1,0,0,1,IDLE,0,1,0,0,0,0,0,0,0
LD_1,0,1,0,IDLE,0,1,0,0,0,0,0,0,0
LD_1,0,1,1,IDLE,0,1,0,0,0,0,0,0,0
LD_1,1,0,0,IDLE,0,1,0,0,0,0,0,0,0
LD_1,1,0,1,IDLE,0,1,0,0,0,0,0,0,0
LD_1,1,1,0,IDLE,0,1,0,0,0,0,0,0,0
LD_1,1,1,1,IDLE,0,1,0,0,0,0,0,0,0
LD_MISS,0,0,0,LD_MISS,0,0,0,0,0,0,0,0,0
LD_MISS,0,1,0,LD_MISS,0,0,0,0,0,0,0,0,0
LD_MISS,1,0,0,LD_MISS,0,0,0,0,0,0,0,0,0
LD_MISS,1,1,0,LD_MISS,0,0,0,0,0,0,0,0,0
LD_MISS,0,0,1,LD_HIT,1,1,0,0,0,0,0,0,0
LD_MISS,0,1,1,LD_HIT,1,1,0,0,0,0,0,0,0
LD_MISS,1,0,1,LD_HIT,1,1,0,0,0,0,0,0,0
LD_MISS,1,1,1,LD_HIT,1,1,0,0,0,0,0,0,0
ERROR,0,0,0,ERROR,0,0,0,0,0,0,0,0,0
ERROR,0,0,1,ERROR,0,0,0,0,0,0,0,0,0
ERROR,0,1,0,ERROR,0,0,0,0,0,0,0,0,0
ERROR,0,1,1,ERROR,0,0,0,0,0,0,0,0,0
ERROR,1,0,0,ERROR,0,0,0,0,0,0,0,0,0
ERROR,1,0,1,ERROR,0,0,0,0,0,0,0,0,0
ERROR,1,1,0,ERROR,0,0,0,0,0,0,0,0,0
ERROR,1,1,1,ERROR,0,0,0,0,0,0,0,0,0
ERROR,0,0,0,ERROR,0,0,0,0,0,0,0,0,0
ERROR,0,0,1,ERROR,0,0,0,0,0,0,0,0,0
ERROR,0,1,0,ERROR,0,0,0,0,0,0,0,0,0
ERROR,0,1,1,ERROR,0,0,0,0,0,0,0,0,0
ERROR,1,0,0,ERROR,0,0,0,0,0,0,0,0,0
ERROR,1,0,1,ERROR,0,0,0,0,0,0,0,0,0
ERROR,1,1,0,ERROR,0,0,0,0,0,0,0,0,0
ERROR,1,1,1,ERROR,0,0,0,0,0,0,0,0,0
