State,DRAM_mem_valid,B_Q_Full,H_Cache,H_B_Q,Dirty,Valid,NextState,DRAM_mem_req,Fill0_EN,Fill1_EN,Fill2_EN,Fill3_EN,B_Q_Push,Bank_Stalling
IDLE,0,0,hit,hit,0,0,,,,,,,,
IDLE,0,0,hit,hit,0,1,,,,,,,,
IDLE,0,0,hit,hit,1,0,,,,,,,,
IDLE,0,0,hit,hit,1,1,,,,,,,,
IDLE,0,0,hit,miss,0,0,,,,,,,,
IDLE,0,0,hit,miss,0,1,,,,,,,,
IDLE,0,0,hit,miss,1,0,,,,,,,,
IDLE,0,0,hit,miss,1,1,,,,,,,,
IDLE,0,0,miss,hit,0,0,,,,,,,,
IDLE,0,0,miss,hit,0,1,,,,,,,,
IDLE,0,0,miss,hit,1,0,,,,,,,,
IDLE,0,0,miss,hit,1,1,,,,,,,,
IDLE,0,0,miss,miss,0,0,,,,,,,,
IDLE,0,0,miss,miss,0,1,,,,,,,,
IDLE,0,0,miss,miss,1,0,,,,,,,,
IDLE,0,0,miss,miss,1,1,,,,,,,,
IDLE,0,1,hit,hit,0,0,,,,,,,,
IDLE,0,1,hit,hit,0,1,,,,,,,,
IDLE,0,1,hit,hit,1,0,,,,,,,,
IDLE,0,1,hit,hit,1,1,,,,,,,,
IDLE,0,1,hit,miss,0,0,,,,,,,,
IDLE,0,1,hit,miss,0,1,,,,,,,,
IDLE,0,1,hit,miss,1,0,,,,,,,,
IDLE,0,1,hit,miss,1,1,,,,,,,,
IDLE,0,1,miss,hit,0,0,,,,,,,,
IDLE,0,1,miss,hit,0,1,,,,,,,,
IDLE,0,1,miss,hit,1,0,,,,,,,,
IDLE,0,1,miss,hit,1,1,,,,,,,,
IDLE,0,1,miss,miss,0,0,,,,,,,,
IDLE,0,1,miss,miss,0,1,,,,,,,,
IDLE,0,1,miss,miss,1,0,,,,,,,,
IDLE,0,1,miss,miss,1,1,,,,,,,,
IDLE,1,0,hit,hit,0,0,,,,,,,,
IDLE,1,0,hit,hit,0,1,,,,,,,,
IDLE,1,0,hit,hit,1,0,,,,,,,,
IDLE,1,0,hit,hit,1,1,,,,,,,,
IDLE,1,0,hit,miss,0,0,,,,,,,,
IDLE,1,0,hit,miss,0,1,,,,,,,,
IDLE,1,0,hit,miss,1,0,,,,,,,,
IDLE,1,0,hit,miss,1,1,,,,,,,,
IDLE,1,0,miss,hit,0,0,,,,,,,,
IDLE,1,0,miss,hit,0,1,,,,,,,,
IDLE,1,0,miss,hit,1,0,,,,,,,,
IDLE,1,0,miss,hit,1,1,,,,,,,,
IDLE,1,0,miss,miss,0,0,,,,,,,,
IDLE,1,0,miss,miss,0,1,,,,,,,,
IDLE,1,0,miss,miss,1,0,,,,,,,,
IDLE,1,0,miss,miss,1,1,,,,,,,,
IDLE,1,1,hit,hit,0,0,,,,,,,,
IDLE,1,1,hit,hit,0,1,,,,,,,,
IDLE,1,1,hit,hit,1,0,,,,,,,,
IDLE,1,1,hit,hit,1,1,,,,,,,,
IDLE,1,1,hit,miss,0,0,,,,,,,,
IDLE,1,1,hit,miss,0,1,,,,,,,,
IDLE,1,1,hit,miss,1,0,,,,,,,,
IDLE,1,1,hit,miss,1,1,,,,,,,,
IDLE,1,1,miss,hit,0,0,,,,,,,,
IDLE,1,1,miss,hit,0,1,,,,,,,,
IDLE,1,1,miss,hit,1,0,,,,,,,,
IDLE,1,1,miss,hit,1,1,,,,,,,,
IDLE,1,1,miss,miss,0,0,,,,,,,,
IDLE,1,1,miss,miss,0,1,,,,,,,,
IDLE,1,1,miss,miss,1,0,,,,,,,,
IDLE,1,1,miss,miss,1,1,,,,,,,,
F0,0,0,hit,hit,0,0,,,,,,,,
F0,0,0,hit,hit,0,1,,,,,,,,
F0,0,0,hit,hit,1,0,,,,,,,,
F0,0,0,hit,hit,1,1,,,,,,,,
F0,0,0,hit,miss,0,0,,,,,,,,
F0,0,0,hit,miss,0,1,,,,,,,,
F0,0,0,hit,miss,1,0,,,,,,,,
F0,0,0,hit,miss,1,1,,,,,,,,
F0,0,0,miss,hit,0,0,,,,,,,,
F0,0,0,miss,hit,0,1,,,,,,,,
F0,0,0,miss,hit,1,0,,,,,,,,
F0,0,0,miss,hit,1,1,,,,,,,,
F0,0,0,miss,miss,0,0,,,,,,,,
F0,0,0,miss,miss,0,1,,,,,,,,
F0,0,0,miss,miss,1,0,,,,,,,,
F0,0,0,miss,miss,1,1,,,,,,,,
F0,0,1,hit,hit,0,0,,,,,,,,
F0,0,1,hit,hit,0,1,,,,,,,,
F0,0,1,hit,hit,1,0,,,,,,,,
F0,0,1,hit,hit,1,1,,,,,,,,
F0,0,1,hit,miss,0,0,,,,,,,,
F0,0,1,hit,miss,0,1,,,,,,,,
F0,0,1,hit,miss,1,0,,,,,,,,
F0,0,1,hit,miss,1,1,,,,,,,,
F0,0,1,miss,hit,0,0,,,,,,,,
F0,0,1,miss,hit,0,1,,,,,,,,
F0,0,1,miss,hit,1,0,,,,,,,,
F0,0,1,miss,hit,1,1,,,,,,,,
F0,0,1,miss,miss,0,0,,,,,,,,
F0,0,1,miss,miss,0,1,,,,,,,,
F0,0,1,miss,miss,1,0,,,,,,,,
F0,0,1,miss,miss,1,1,,,,,,,,
F0,1,0,hit,hit,0,0,,,,,,,,
F0,1,0,hit,hit,0,1,,,,,,,,
F0,1,0,hit,hit,1,0,,,,,,,,
F0,1,0,hit,hit,1,1,,,,,,,,
F0,1,0,hit,miss,0,0,,,,,,,,
F0,1,0,hit,miss,0,1,,,,,,,,
F0,1,0,hit,miss,1,0,,,,,,,,
