04 ib	ADD AL,imm8	Add imm8 to AL
05 iw	ADD AX,imm16	Add imm16 to AX
05 id	ADD EAX,imm32	Add imm32 to EAX
80 /0 ib	ADD r/m8,imm8	Add imm8 to r/m8
81 /0 iw	ADD r/m16,imm16	Add imm16 to r/m16
81 /0 id	ADD r/m32,imm32	Add imm32 to r/m32
83 /0 ib	ADD r/m16,imm8	Add sign-extended imm8 to r/m16
83 /0 ib	ADD r/m32,imm8	Add sign-extended imm8 to r/m32
00 /r	ADD r/m8,r8	Add r8 to r/m8
01 /r	ADD r/m16,r16	Add r16 to r/m16
01 /r	ADD r/m32,r32	Add r32 to r/m32
02 /r	ADD r8,r/m8	Add r/m8 to r8
03 /r	ADD r16,r/m16	Add r/m16 to r16
03 /r	ADD r32,r/m32	Add r/m32 to r32
24 ib	AND AL,imm8	AL AND imm8
25 iw	AND AX,imm16	AX AND imm16
25 id	AND EAX,imm32	EAX AND imm32
80 /4 ib	AND r/m8,imm8	r/m8 AND imm8
81 /4 iw	AND r/m16,imm16	r/m16 AND imm16
81 /4 id	AND r/m32,imm32	r/m32 AND imm32
83 /4 ib	AND r/m16,imm8	r/m16 AND imm8 (sign-extended)
83 /4 ib	AND r/m32,imm8	r/m32 AND imm8 (sign-extended)
20 /r	AND r/m8,r8	r/m8 AND r8
21 /r	AND r/m16,r16	r/m16 AND r16
21 /r	AND r/m32,r32	r/m32 AND r32
22 /r	AND r8,r/m8	r8 AND r/m8
23 /r	AND r16,r/m16	r16 AND r/m16
23 /r	AND r32,r/m32	r32 AND r/m32
0F BC	BSF r16,r/m16	Bit scan forward on r/m16
0F BC	BSF r32,r/m32	Bit scan forward on r/m32
E8 cw	CALL rel16	Call near, relative, displacement relative to next instruction
E8 cd	CALL rel32	Call near, relative, displacement relative to next instruction
FF /2	CALL r/m16	Call near, absolute indirect, address given in r/m16
FF /2	CALL r/m32	Call near, absolute indirect, address given in r/m32
9A cp	CALL ptr16:32	Call far, absolute, address given in operand
FC	CLD	Clear DF flag
0F 42 /r	CMOVC r16, r/m16	Move if carry (CF=1)
0F 42 /r	CMOVC r32, r/m32	Move if carry (CF=1)
0F B0 /r	CMPXCHG r/m8,r8	Compare AL with r/m8. If equal, r/m8 = r8 and ZF=1. Else, ZF=0, AL=r/m8.
0F B1 /r	CMPXCHG r/m16,r16	Compare AX with r/m16. If equal, r/m16 = r16 and ZF=1. Else, ZF=0, AX=r/m16.
0F B1 /r	CMPXCHG r/m32,r32	Compare EAX with r/m32. If equal, r/m32 = r32 and ZF=1. Else, ZF=0, EAX=r/m32.
27	DAA	Decimal adjust AL after addition
F4	HLT	Halt
CF	IREtd	Interrupt return (32-bit operand size)
77 cb	JNBE rel8	Jump short if not below or equal (CF=0 and ZF=0)
75 cb	JNE rel8	Jump short if not equal (ZF=0)
0F 87 cw	JNBE rel16	Jump near if not below or equal (CF=0 and ZF=0)
0F 87 cd	JNBE rel32	Jump near if not below or equal (CF=0 and ZF=0)
0F 85 cw	JNE rel16	Jump near if not equal (ZF=0)
0F 85 cd	JNE rel32	Jump near if not equal (ZF=0)
EB cb	JMP rel8	Jump short, relative, displacement relative to next instruction
E9 cw	JMP rel16	Jump near, relative, displacement relative to next instruction
E9 cd	JMP rel32	Jump near, relative, displacement relative to next instruction
FF /4	JMP r/m16	Jump near, absolute indirect, address given in r/m16
FF /4	JMP r/m32	Jump near, absolute indirect, address given in r/m32
EA cd	JMP ptr16:16	Jump far, absolute, address given in operand
