S_0,S_1,S_2,D_Miss_i,V_Miss_i,Line_valid_i,DTE_Mem_valid_i,D_Swap_valid_i,NS_0,NS_1,NS_2,write_to_dswap_o,D_will_evict_o,mem_req_o,busy_o,ld_V_swap_o,invalidate_v_swap_o,MakeReq_o,fill0_o,fill1_o,fill2_o,fill3_o
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
